year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2021,64,Texas Tech,Utah State,-5,5.9,3,8,-0.09,-66,-401.911719,"Bloomington, IN",TRUE,Texas Tech
2021,64,Arkansas,Colgate,-11,5,9,6,0.56,-256,-154.2895363,"Bloomington, IN",TRUE,Arkansas
2021,64,Florida,Virginia Tech,-3,0.7,1,1,0.01,-49,374.7958445,"Indianapolis, IN",TRUE,Florida
2021,64,Ohio State,Oral Roberts,-13,12.8,10,1,0.38,-112,-420.245497,"Indianapolis, IN",FALSE,Oral Roberts
2021,64,Illinois,Drexel,-15,16.7,14,5,0.7,-215,-469.0378151,"Indianapolis, IN",TRUE,Illinois
2021,64,Loyola (IL),Georgia Tech,-1,3.3,-5,-5,0.13,78,-263.0517132,"Indianapolis, IN",TRUE,Loyola (IL)
2021,64,Tennessee,Oregon State,-7,5.8,-2,-2,0,11,-1625.78608,"Indianapolis, IN",FALSE,Oregon State
2021,64,Oklahoma State,Liberty,-9,3.8,10,3,0.63,-233,236.3680596,"Indianapolis, IN",TRUE,Oklahoma State
2021,64,San Diego State,Syracuse,-5,1.3,-7,-6,-0.17,74,1217.018564,"Indianapolis, IN",FALSE,Syracuse
2021,64,West Virginia,Morehead State,-11,11.7,5,7,0.33,-137,148.0342093,"Indianapolis, IN",TRUE,West Virginia
2021,64,Clemson,Rutgers,-3,-0.1,0,-3,0.09,32,-223.0903304,"Indianapolis, IN",FALSE,Rutgers
2021,64,Houston,Cleveland State,-13,20.1,5,-1,0.83,-85,604.6575845,"Indianapolis, IN",TRUE,Houston
2021,32,Gonzaga,Oklahoma,-7,10.3,5,-8,0.52,36,953.627307,"Indianapolis, IN",TRUE,Gonzaga
2021,32,Creighton,Ohio,-8,8,5,1,0.34,-64,312.5994611,"Indianapolis, IN",TRUE,Creighton
2021,32,USC,Kansas,3,2.3,-1,-3,0.07,17,1324.903109,"Indianapolis, IN",TRUE,USC
2021,32,Oregon,Iowa,5,-5.8,-4,-4,0.04,45,1598.785865,"Indianapolis, IN",TRUE,Oregon
2021,32,Michigan,LSU,-7,4.8,6,-5,0.34,-7,-522.383928,"West Lafayette, IN",TRUE,Michigan
2021,32,Colorado,Florida State,1,0.4,-3,0,-0.09,24,358.4855487,"Indianapolis, IN",FALSE,Florida State
2021,32,UCLA,Abilene Christian,-3,5.6,5,4,0.21,-194,904.2579695,"Indianapolis, IN",TRUE,UCLA
2021,32,Maryland,Alabama,8,-4.7,-4,8,-0.36,-16,40.82993807,"West Lafayette, IN",FALSE,Alabama
2021,32,Baylor,Wisconsin,-8,7.5,7,-10,0.51,39,556.359008,"Indianapolis, IN",TRUE,Baylor
2021,32,Villanova,North Texas,-8,7.9,4,-1,0.43,-54,-187.1961163,"Indianapolis, IN",TRUE,Villanova
2021,32,Texas Tech,Arkansas,3,0.9,-4,4,-0.25,22,467.70333,"Bloomington, IN",FALSE,Arkansas
2021,32,Florida,Oral Roberts,-8,8.9,3,1,0.16,-94,142.2290284,"Indianapolis, IN",FALSE,Oral Roberts
2021,32,Illinois,Loyola (IL),-7,4.4,12,5,0.03,-123,-48.53570346,"Indianapolis, IN",FALSE,Loyola (IL)
2021,32,Oregon State,Oklahoma State,8,-2.7,-2,2,-0.13,26,1268.554252,"Indianapolis, IN",TRUE,Oregon State
2021,32,Syracuse,West Virginia,8,-1.1,3,-2,0.17,15,235.4260449,"Indianapolis, IN",TRUE,Syracuse
2021,32,Rutgers,Houston,8,-8.7,3,9,-0.39,-97,-246.5630742,"Indianapolis, IN",FALSE,Houston
2021,16,Gonzaga,Creighton,-4,8.2,5,-2,0.25,17,1112.583485,"Indianapolis, IN",TRUE,Gonzaga
2021,16,USC,Oregon,-1,3.1,1,2,-0.06,-13,-93.92696198,"Indianapolis, IN",TRUE,USC
2021,16,Michigan,Florida State,-3,4.7,4,-2,0.17,-24,-439.7174479,"Indianapolis, IN",TRUE,Michigan
2021,16,UCLA,Alabama,9,-3,-3,2,-0.18,-2,1356.571281,"Indianapolis, IN",TRUE,UCLA
2021,16,Baylor,Villanova,-4,5.6,9,-1,0.25,-4,267.0294469,"Indianapolis, IN",TRUE,Baylor
